day	rows	columns	value	user
Mon	cont	A	20	Alain
Mon	a	A	23	Alain
Mon	b	A	20.3	Alain
Mon	c	A	20.8	Alain
Mon	d	A	19.4	Alain
Mon	e	A	19	Alain
Mon	f	A	20.15	Alain
Mon	g	A	19.125	Alain
Mon	cont	B	21.2	Alain
Mon	a	B	24.7	Alain
Mon	b	B	23.6	Alain
Mon	c	B	20.8	Alain
Mon	d	B	20.7	Alain
Mon	e	B	22.4	Alain
Mon	f	B	20.45	Alain
Mon	g	B	20.725	Alain
Mon	cont	C	19.5	Alain
Mon	a	C	25.7	Alain
Mon	b	C	21.6	Alain
Mon	c	C	21.7	Alain
Mon	d	C	21.5	Alain
Mon	e	C	21.4	Alain
Mon	f	C	18.85	Alain
Mon	g	C	21.025	Alain
Mon	cont	D	21.8	Alain
Mon	a	D	22.8	Alain
Mon	b	D	22.2	Alain
Mon	c	D	22.2	Alain
Mon	d	D	20.2	Alain
Mon	e	D	20	Alain
Mon	f	D	22.15	Alain
Mon	g	D	21.025	Alain
Mon	cont	E	19.2	Alain
Mon	a	E	25	Alain
Mon	b	E	25.1	Alain
Mon	c	E	21.7	Alain
Mon	d	E	21.3	Alain
Mon	e	E	21.4	Alain
Mon	f	E	22.05	Alain
Mon	g	E	21.925	Alain
Mon	cont	F	20.1	Alain
Mon	a	F	23.8	Alain
Mon	b	F	23.7	Alain
Mon	c	F	20.2	Alain
Mon	d	F	21.1	Alain
Mon	e	F	20.8	Alain
Mon	f	F	21.35	Alain
Mon	g	F	21.325	Alain
Mon	cont	G	21.1	Alain
Mon	a	G	24.3	Alain
Mon	b	G	23.3	Alain
Mon	c	G	21.3	Alain
Mon	d	G	20.9	Alain
Mon	e	G	21.5	Alain
Mon	f	G	21.25	Alain
Mon	g	G	20.125	Alain
Mon	cont	H	19.9	Alain
Mon	a	H	23.8	Alain
Mon	b	H	24.7	Alain
Mon	c	H	22.1	Alain
Mon	d	H	19.7	Alain
Mon	e	H	21	Alain
Mon	f	H	19.05	Alain
Mon	g	H	19.625	Alain
Mon	cont	I	20.8	Alain
Mon	a	I	24.2	Alain
Mon	b	I	23.2	Alain
Mon	c	I	23	Alain
Mon	d	I	21.4	Alain
Mon	e	I	21.4	Alain
Mon	f	I	18.65	Alain
Mon	g	I	20.525	Alain
Mon	cont	J	22.6	Alain
Mon	a	J	22.3	Alain
Mon	b	J	25.1	Alain
Mon	c	J	22.3	Alain
Mon	d	J	20.9	Alain
Mon	e	J	21.5	Alain
Mon	f	J	20.75	Alain
Mon	g	J	19.925	Alain
Mon	cont	K	20.5	Alain
Mon	a	K	22.2	Alain
Mon	b	K	22.9	Alain
Mon	c	K	21.6	Alain
Mon	d	K	22.3	Alain
Mon	e	K	19.3	Alain
Mon	f	K	19.75	Alain
Mon	g	K	21.125	Alain
Mon	cont	L	20.5	Alain
Mon	a	L	23	Alain
Mon	b	L	23.9	Alain
Mon	c	L	22.3	Alain
Mon	d	L	20.8	Alain
Mon	e	L	19.1	Alain
Mon	f	L	19.75	Alain
Mon	g	L	20.425	Alain
Fri	cont	A	20	Alain
Fri	a	A	23	Alain
Fri	b	A	20.3	Alain
Fri	c	A	20.8	Alain
Fri	d	A	19.4	Alain
Fri	e	A	19	Alain
Fri	f	A	20.15	Alain
Fri	g	A	19.125	Alain
Fri	cont	B	21.2	Alain
Fri	a	B	24.7	Alain
Fri	b	B	23.6	Alain
Fri	c	B	20.8	Alain
Fri	d	B	20.7	Alain
Fri	e	B	22.4	Alain
Fri	f	B	20.45	Alain
Fri	g	B	20.725	Alain
Fri	cont	C	19.5	Alain
Fri	a	C	25.7	Alain
Fri	b	C	21.6	Alain
Fri	c	C	21.7	Alain
Fri	d	C	21.5	Alain
Fri	e	C	21.4	Alain
Fri	f	C	18.85	Alain
Fri	g	C	21.025	Alain
Fri	cont	D	21.8	Alain
Fri	a	D	22.8	Alain
Fri	b	D	22.2	Alain
Fri	c	D	22.2	Alain
Fri	d	D	20.2	Alain
Fri	e	D	20	Alain
Fri	f	D	22.15	Alain
Fri	g	D	21.025	Alain
Fri	cont	E	19.2	Alain
Fri	a	E	25	Alain
Fri	b	E	25.1	Alain
Fri	c	E	21.7	Alain
Fri	d	E	21.3	Alain
Fri	e	E	21.4	Alain
Fri	f	E	22.05	Alain
Fri	g	E	21.925	Alain
Fri	cont	F	20.1	Alain
Fri	a	F	23.8	Alain
