	day	rows	columns	value	user
1	Mon	cont	A	20	Alain
2	Mon	a	A	23	Alain
3	Mon	b	A	20.3	Alain
4	Mon	c	A	20.8	Alain
5	Mon	d	A	19.4	Alain
6	Mon	e	A	19	Alain
7	Mon	f	A	20.15	Alain
8	Mon	g	A	19.125	Alain
9	Mon	cont	B	21.2	Alain
10	Mon	a	B	24.7	Alain
11	Mon	b	B	23.6	Alain
12	Mon	c	B	20.8	Alain
13	Mon	d	B	20.7	Alain
14	Mon	e	B	22.4	Alain
15	Mon	f	B	20.45	Alain
16	Mon	g	B	20.725	Alain
17	Mon	cont	C	19.5	Alain
18	Mon	a	C	25.7	Alain
19	Mon	b	C	21.6	Alain
20	Mon	c	C	21.7	Alain
21	Mon	d	C	21.5	Alain
22	Mon	e	C	21.4	Alain
23	Mon	f	C	18.85	Alain
24	Mon	g	C	21.025	Alain
25	Mon	cont	D	21.8	Alain
26	Mon	a	D	22.8	Alain
27	Mon	b	D	22.2	Alain
28	Mon	c	D	22.2	Alain
29	Mon	d	D	20.2	Alain
30	Mon	e	D	20	Alain
31	Mon	f	D	22.15	Alain
32	Mon	g	D	21.025	Alain
33	Mon	cont	E	19.2	Alain
34	Mon	a	E	25	Alain
35	Mon	b	E	25.1	Alain
36	Mon	c	E	21.7	Alain
37	Mon	d	E	21.3	Alain
38	Mon	e	E	21.4	Alain
39	Mon	f	E	22.05	Alain
40	Mon	g	E	21.925	Alain
41	Mon	cont	F	20.1	Alain
42	Mon	a	F	23.8	Alain
43	Mon	b	F	23.7	Alain
44	Mon	c	F	20.2	Alain
45	Mon	d	F	21.1	Alain
46	Mon	e	F	20.8	Alain
47	Mon	f	F	21.35	Alain
48	Mon	g	F	21.325	Alain
49	Mon	cont	G	21.1	Alain
50	Mon	a	G	24.3	Alain
51	Mon	b	G	23.3	Alain
52	Mon	c	G	21.3	Alain
53	Mon	d	G	20.9	Alain
54	Mon	e	G	21.5	Alain
55	Mon	f	G	21.25	Alain
56	Mon	g	G	20.125	Alain
57	Mon	cont	H	19.9	Alain
58	Mon	a	H	23.8	Alain
59	Mon	b	H	24.7	Alain
60	Mon	c	H	22.1	Alain
61	Mon	d	H	19.7	Alain
62	Mon	e	H	21	Alain
63	Mon	f	H	19.05	Alain
64	Mon	g	H	19.625	Alain
65	Mon	cont	I	20.8	Alain
66	Mon	a	I	24.2	Alain
67	Mon	b	I	23.2	Alain
68	Mon	c	I	23	Alain
69	Mon	d	I	21.4	Alain
70	Mon	e	I	21.4	Alain
71	Mon	f	I	18.65	Alain
72	Mon	g	I	20.525	Alain
73	Mon	cont	J	22.6	Alain
74	Mon	a	J	22.3	Alain
75	Mon	b	J	25.1	Alain
76	Mon	c	J	22.3	Alain
77	Mon	d	J	20.9	Alain
78	Mon	e	J	21.5	Alain
79	Mon	f	J	20.75	Alain
80	Mon	g	J	19.925	Alain
81	Mon	cont	K	20.5	Alain
82	Mon	a	K	22.2	Alain
83	Mon	b	K	22.9	Alain
84	Mon	c	K	21.6	Alain
85	Mon	d	K	22.3	Alain
86	Mon	e	K	19.3	Alain
87	Mon	f	K	19.75	Alain
88	Mon	g	K	21.125	Alain
89	Mon	cont	L	20.5	Alain
90	Mon	a	L	23	Alain
91	Mon	b	L	23.9	Alain
92	Mon	c	L	22.3	Alain
93	Mon	d	L	20.8	Alain
94	Mon	e	L	19.1	Alain
95	Mon	f	L	19.75	Alain
96	Mon	g	L	20.425	Alain
97	Fri	cont	A	20	Alain
98	Fri	a	A	23	Alain
99	Fri	b	A	20.3	Alain
100	Fri	c	A	20.8	Alain
101	Fri	d	A	19.4	Alain
102	Fri	e	A	19	Alain
103	Fri	f	A	20.15	Alain
104	Fri	g	A	19.125	Alain
105	Fri	cont	B	21.2	Alain
106	Fri	a	B	24.7	Alain
107	Fri	b	B	23.6	Alain
108	Fri	c	B	20.8	Alain
109	Fri	d	B	20.7	Alain
110	Fri	e	B	22.4	Alain
111	Fri	f	B	20.45	Alain
112	Fri	g	B	20.725	Alain
113	Fri	cont	C	19.5	Alain
114	Fri	a	C	25.7	Alain
115	Fri	b	C	21.6	Alain
116	Fri	c	C	21.7	Alain
117	Fri	d	C	21.5	Alain
118	Fri	e	C	21.4	Alain
119	Fri	f	C	18.85	Alain
120	Fri	g	C	21.025	Alain
121	Fri	cont	D	21.8	Alain
122	Fri	a	D	22.8	Alain
123	Fri	b	D	22.2	Alain
124	Fri	c	D	22.2	Alain
125	Fri	d	D	20.2	Alain
126	Fri	e	D	20	Alain
127	Fri	f	D	22.15	Alain
128	Fri	g	D	21.025	Alain
129	Fri	cont	E	19.2	Alain
130	Fri	a	E	25	Alain
131	Fri	b	E	25.1	Alain
132	Fri	c	E	21.7	Alain
133	Fri	d	E	21.3	Alain
134	Fri	e	E	21.4	Alain
135	Fri	f	E	22.05	Alain
136	Fri	g	E	21.925	Alain
137	Fri	cont	F	20.1	Alain
138	Fri	a	F	23.8	Alain
139	Fri	b	F	23.7	Alain
140	Fri	c	F	20.2	Alain
141	Fri	d	F	21.1	Alain
142	Fri	e	F	20.8	Alain
143	Fri	f	F	21.35	Alain
144	Fri	g	F	21.325	Alain
145	Fri	cont	G	21.1	Alain
146	Fri	a	G	24.3	Alain
147	Fri	b	G	23.3	Alain
148	Fri	c	G	21.3	Alain
149	Fri	d	G	20.9	Alain
150	Fri	e	G	21.5	Alain
151	Fri	f	G	21.25	Alain
152	Fri	g	G	20.125	Alain
153	Fri	cont	H	19.9	Alain
154	Fri	a	H	23.8	Alain
155	Fri	b	H	24.7	Alain
156	Fri	c	H	22.1	Alain
157	Fri	d	H	19.7	Alain
158	Fri	e	H	21	Alain
159	Fri	f	H	19.05	Alain
160	Fri	g	H	19.625	Alain
161	Fri	cont	I	20.8	Alain
162	Fri	a	I	24.2	Alain
163	Fri	b	I	23.2	Alain
164	Fri	c	I	23	Alain
165	Fri	d	I	21.4	Alain
166	Fri	e	I	21.4	Alain
167	Fri	f	I	18.65	Alain
168	Fri	g	I	20.525	Alain
169	Fri	cont	J	22.6	Alain
170	Fri	a	J	22.3	Alain
171	Fri	b	J	25.1	Alain
172	Fri	c	J	22.3	Alain
173	Fri	d	J	20.9	Alain
174	Fri	e	J	21.5	Alain
175	Fri	f	J	20.75	Alain
176	Fri	g	J	19.925	Alain
177	Fri	cont	K	20.5	Alain
178	Fri	a	K	22.2	Alain
179	Fri	b	K	22.9	Alain
180	Fri	c	K	21.6	Alain
181	Fri	d	K	22.3	Alain
182	Fri	e	K	19.3	Alain
183	Fri	f	K	19.75	Alain
184	Fri	g	K	21.125	Alain
185	Fri	cont	L	20.5	Alain
186	Fri	a	L	23	Alain
187	Fri	b	L	23.9	Alain
188	Fri	c	L	22.3	Alain
189	Fri	d	L	20.8	Alain
190	Fri	e	L	19.1	Alain
191	Fri	f	L	19.75	Alain
192	Fri	g	L	20.425	Alain
193	Mon	cont	A	20.604426869794	Mathilde
194	Mon	a	A	22.0125738919022	Mathilde
195	Mon	b	A	20.451198684805	Mathilde
196	Mon	c	A	19.8750288972263	Mathilde
197	Mon	d	A	19.6277592953023	Mathilde
198	Mon	e	A	20.208406585012	Mathilde
199	Mon	f	A	19.1738725171386	Mathilde
200	Mon	g	A	18.9637639240852	Mathilde
201	Mon	cont	B	21.6688464475292	Mathilde
202	Mon	a	B	24.5707094787137	Mathilde
203	Mon	b	B	24.0572041650366	Mathilde
204	Mon	c	B	20.8715690176211	Mathilde
205	Mon	d	B	23.0946188476505	Mathilde
206	Mon	e	B	22.0981899289518	Mathilde
207	Mon	f	B	20.7935280925243	Mathilde
208	Mon	g	B	20.0010479360895	Mathilde
209	Mon	cont	C	19.5756486225824	Mathilde
210	Mon	a	C	25.0514525609865	Mathilde
211	Mon	b	C	22.050682092473	Mathilde
212	Mon	c	C	20.9349958747539	Mathilde
213	Mon	d	C	22.3698164278252	Mathilde
214	Mon	e	C	20.9514337568275	Mathilde
215	Mon	f	C	17.0670947557332	Mathilde
216	Mon	g	C	22.0102262372913	Mathilde
217	Mon	cont	D	21.7210522863331	Mathilde
218	Mon	a	D	23.2644952050214	Mathilde
219	Mon	b	D	21.2845475995778	Mathilde
220	Mon	c	D	20.2005552554579	Mathilde
221	Mon	d	D	18.8772074419267	Mathilde
222	Mon	e	D	18.4905381127801	Mathilde
223	Mon	f	D	22.1906657425532	Mathilde
224	Mon	g	D	22.4037933767338	Mathilde
225	Mon	cont	E	19.8151674202093	Mathilde
226	Mon	a	E	24.4023731571199	Mathilde
227	Mon	b	E	24.8668850538901	Mathilde
228	Mon	c	E	20.3510096951663	Mathilde
229	Mon	d	E	20.377587381681	Mathilde
